,2000-2001,2001-2002,2002-2003,2003-2004,2004-2005,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021
Man City,-965.1405915557141,4.434216650672724,-519.8597976262761,-89.42787373630797,-83.47832550656732,-541.0800663088248,-361.1766038845376,61.94749233337441,-280.34660011823286,-25.529466564528903,65.59148599118237,154.54224135207724,-64.36596200856428,67.59083669216268,-3.5545593586496835,-328.44579951355445,107.17183385541054,-8.749280603886433,-9.908289741333903,-131.53296658254442,-329.96883861966165
Man United,-194.52041331985424,-586.103283817367,-27.28749789876916,-220.62630339156047,-7.590599738708804,44.654406888790206,-125.00527691909993,-11.307058407120564,-22.540578955076256,-122.1357201539529,165.9296951831237,-103.39472893803735,-182.13266238623498,-534.6050327693447,1.3908232823478528,163.7259496658521,196.52240028097714,-5.6587793174230825,-13.958166766514125,316.0523764601981,-312.72362543784504
Liverpool,-86.83494495116959,-113.57707322062339,-70.25641861292917,-367.04029312943663,-86.19548008920604,72.1101079413868,65.39697784348714,72.008125038881,187.36023724185,-121.09655542199125,52.689831252925046,-162.16716980550174,-151.81464828570333,38.836429139447546,-88.73793071551388,69.50557292065928,96.21359166647798,303.7884863300303,163.1952960181097,156.22397114402753,-468.08312939479424
Chelsea,-123.2793558737995,-285.4268864258387,40.80626604883663,-198.34608767484684,99.3373982023423,60.32485146252945,76.96212990902296,142.99013659131322,-116.63912028631277,-1.2724486022485308,-110.86431975337723,-247.31810161356228,29.92327475246985,106.4670129028707,200.9538956275615,-212.81925770325347,12.536411668470294,-232.80838465711756,218.67823214782877,-254.8975706011945,-199.66606247828122
Tottenham,113.31897959677482,-228.64459984048196,-372.9061874001704,-171.02219828492153,-204.04136691990192,62.98850528997798,-74.53742145014174,-269.9360191600335,108.03604172302009,65.91468994076101,293.03496836123907,-94.48604625371131,63.98516531652703,-220.94657449111259,-141.71098272695252,107.98208078994739,326.778780073612,-29.36791507154757,-281.5791287646001,22.256193111158794,-339.5933709707479
Arsenal,12.665599674053851,-223.6603213932305,-121.84173176727732,107.94298097683775,-10.100952525866674,-79.19160015696197,61.10325859903669,168.9515890259542,-110.1350984995608,-94.82692791650081,-237.13861993685126,-104.870961099604,-70.5986566566371,232.47147581085483,64.10546785586484,-66.9138962513753,71.8095289267777,71.04022177342945,188.9310628283739,97.15636198882943,-362.64088902585905
Ajax,-312.4264142881372,-170.64000777461848,-110.41008834444014,0.017478489762652316,-277.09512712998554,-129.0571731346921,-185.62767781449784,-146.23467670101803,1.11971359039579,59.017032618258796,-114.49827643854604,-31.454293860384936,-2.1602073920512908,-24.366948532494362,-75.77229168338218,-7.978342740935631,-16.16872390694182,-158.21087737174815,6.559700785435979,-204.0335511124514,-58.06136031882963
Feyenoord,-269.5764945785643,-156.6749096887491,-58.29565493872073,-243.07653844126796,-449.6117347989973,-15.342198912546223,-19.29296286256671,-92.93365507843218,-83.48253893032077,-0.15204896715788152,-133.1920104944702,98.46813060954659,256.42920581782465,-176.32255906980683,-394.31002547036655,-167.4130183002029,132.4249921988943,-224.0453372191368,-60.82239013154771,42.02792724364592,-2.349239995419083
PSV Eindhoven,54.63017253767063,-56.6181014584521,-111.0837980665378,-310.8273523538106,-93.27757100110755,37.99938473068593,-208.52653179445008,-7.9162403280154905,-88.6319260546629,97.71945091304013,-150.11222389355868,-25.036206332381127,-258.85526600387834,-194.46454517182343,-19.01347270265778,-55.41998175492189,-41.22843835254572,100.98072061445637,68.46778177823855,20.747070445330237,62.7904119387419
Juventus,-43.40692901745659,-67.65325989748389,-9.73004225776603,-251.77479662594908,-152.45820267765095,57.950172344831685,-142.1398916509022,-29.645469262933062,-25.579812835745614,-455.50113861957186,-296.42127383311725,160.60994218633977,-92.81858193298844,72.24007056386134,169.3067702711624,26.545209155302032,107.83709951113455,-126.14074342286914,132.14456382940662,46.249491293886194,-112.26337978180288
Roma,53.50217643862349,101.40844381488112,-138.13124639051225,-210.93336698771793,-361.4177365733825,-164.6256022603099,-74.43719320117884,28.701849100863512,22.84568082251451,-60.133180663840804,-50.355461437678784,-109.03893812522634,-71.0884977743062,73.65245604912445,46.62288757055788,153.82255953104487,-39.58988484272599,-483.3827162592381,110.21002007915875,-184.91852019318594,259.2446684960008
Atalanta,-198.89249741875744,-258.8633066910148,-28.68961402850637,-100.92138124432914,-214.3115304574065,-104.07878225626867,352.42788112949114,110.87298347969218,-67.07019423714289,-256.424244927754,-6.865361717751782,69.49516127512567,-328.78635386090644,180.25423772038172,-334.3958289421189,124.27276867204668,265.3393037276498,-71.09349218027732,-84.88348854723598,-309.9131036758918,-165.006058186974
Lazio,-142.6629596045326,73.58613911646337,-25.777339195856698,-140.72934571019704,-445.58907711115455,355.8442051327735,-24.594184301445594,-271.99214860671026,-388.1936344555761,-538.711586557097,39.48897114185827,80.73494310393266,-76.59884739682597,170.07399067129066,-447.718613211861,-405.18426204089684,-331.4442916503495,-310.6184558000309,-308.9855925969891,95.29170484268394,131.78536237171207
Milan,-73.20787879197377,-133.41684831234704,-10.295779105452425,-13.385747893291708,-229.04574164100663,77.68764222252358,-363.89866965217016,-281.08720632847076,-40.5633779592566,-39.58424454732835,-56.45209228335909,-79.47916728690694,-217.66888957139008,-217.76087376058456,-111.78657149290004,-158.10249284328773,-165.3067080674266,-95.21159472781231,12.123928612902745,-28.66799127457655,-305.1024664853734
Inter,-17.16240348828073,-222.1785866585463,-133.76303717090093,-275.17269810619337,-10.573175698304851,-139.9558413720974,-29.489989729876015,-27.0157507071593,132.81770080309667,121.67530389265958,72.21559776673617,-275.1554561690993,-481.85646299639853,93.0283283785599,-248.70115224083054,-125.27400865386763,-226.2466329269323,-15.301624105417943,-44.944559933783424,11.47868640224982,125.26704799578924
Celtic,-65.00953260809949,3.1077374146786525,-3.3519555440831112,-229.8424493025184,-420.0097866948348,-66.73000537601635,-178.9426159485397,-34.258794655318155,-30.03678210722525,17.54134026272719,-34.31699017979584,-22.95356186590817,-150.15704834467562,61.138292981793825,-160.95342105673635,-64.33525798288274,32.80405974575214,-69.55796633536646,58.15002161046603,-101.15142528756311,-92.80687267559233
Rangers,-390.7708495549164,-73.95458677048735,-119.47095987703318,-344.6351200102304,-209.88384716632046,-141.34057253109984,-53.13943944101021,-28.74824743751786,-107.28977449126036,118.97344316656296,-225.47286815986092,-25.24295062814535,-228.36881673637907,-9.309274284062028,-190.2374292835721,30.58816275359031,-131.8669597287021,-591.1067810817892,135.90581527281125,-185.72276310005867,86.52918547569419
Porto,16.799207426691666,-169.96451250469192,13.62249876596114,-25.97189240942157,-374.6609028282621,-58.86720993089729,-185.16450105762343,-48.020777737913235,-51.56436442546608,76.53495374120446,34.65128752702881,42.199258945408516,51.49168914174666,-59.97411225180596,-90.06643322464697,-267.52827695272754,74.90190834901632,12.278645047023218,-191.4967509794051,-29.162779400878406,10.976228060808907
Benfica,-127.23990842347776,-41.86916832288634,-182.47027265957308,-154.94811284433086,-148.44406163552634,-138.97932208649632,62.53033918963038,-124.90004471031902,-84.09438641719483,67.59586099200426,-156.83159658302853,-57.70005954843046,58.187991313244794,77.62492338299988,74.38475723377199,-187.62595471709201,75.52986910648605,-168.34100029204257,-26.337546090309615,-259.64349563436656,-112.85833933753442
Sp Lisbon,-286.16371945290746,-71.57433222198766,-384.19610800688633,-63.13616163501072,-213.02202891623813,-238.3293921913247,-152.5728866593539,103.70578749080022,-240.8058934011177,-246.8918747641933,-243.27704096837843,119.44705846040243,-164.14225082095874,90.0737441836041,164.5826730566111,-42.22366837650381,-98.77646662342858,77.48658009235476,59.32729889321466,-284.75693982990504,211.6209071429049
Paris SG,-191.18593919848385,-6.174196203002751,-116.25327646185424,-65.59256094750565,26.45643430637074,-335.1250674719381,-496.86888861620054,-489.6231277235141,-282.57017489538816,-224.04590491883067,66.66545937287373,-12.926938206830414,-132.59995506882103,-50.752676527461375,70.40089392175958,-44.196848286981705,61.34847563569325,-101.6123341362372,51.655561540549215,-81.1545333551715,-473.6493139191441
Olympiakos,-14.343227741206363,-110.6069515136246,-109.04959944542381,-248.61919298781942,-24.50746138548118,-120.03476874152992,-128.73171180351932,15.36037473939568,-67.93779213339813,-173.0316970900994,44.86180310558494,-60.718455658831886,-90.45029634765986,-112.90478474824822,-97.46977623620417,12.242625042220297,-70.24525385837387,-183.98159112610853,-76.27799956737421,-69.2491888594038,112.97830844555308
Bayern Munich,-379.36765490819613,47.463480929045986,-56.07877154134357,-64.28693828535782,-56.87986065185399,-58.282818990672254,-106.52551759639674,82.12979565439421,-214.11466522213465,-1.7732675337815778,-102.39367282394284,-155.78093807660036,-68.35074803040791,-108.65041608037525,-182.59445736922777,-75.20293440470343,40.36609274814555,-46.35924629141135,-64.29162453036642,-162.24237905744656,75.99027356730761
Dortmund,-290.1405389066158,-141.12419910249363,-8.026681139057558,-31.416785914421823,-188.64266545460862,-271.4521166110226,-198.82158551379348,-89.5908127804901,466.39103364349353,-20.257160769482468,110.06209121406326,25.50205312562953,-283.72088579596806,-342.75046657733526,-396.14259273785757,147.4289385178904,201.00909844199293,-233.54589904365776,120.19335834477906,-159.98891559317246,-265.3320593678235
Wolfsburg,10.156831391137615,-277.32130454727735,-73.77707218250707,-227.55442953610066,-364.3068103924407,199.89069952608392,-10.422201925744616,65.7192193699765,302.72240612108055,-650.6801180101958,-276.54115976528755,-68.97767200084954,-204.94354696525372,121.42100821341906,448.6090533729781,-0.16625034775654512,-687.1880304364608,-246.24781419453728,30.81306013779202,-276.4516796013233,134.1556702218283
Galatasaray,-387.7818881039873,14.727902419657553,-194.27103004201456,-255.417510634721,-178.93197448280853,-107.42202479029115,-151.58753047138248,-17.82673171645699,-76.43623714899768,-134.37116677589515,-600.2797089387509,60.8571005739019,-68.90327003595154,-73.6836379258113,67.97588049290587,78.83130673425666,-508.0998374957067,153.19047632353735,191.05983511097554,-35.434632403614614,0.720826694670734
Fenerbahce,54.810168349343286,-87.63088638627741,-124.18764785812468,-136.6069715259819,-96.91394895222314,5.043278296017121,-69.35527854516555,-40.11685647253506,-47.12969987110057,-104.7360156527479,140.429660528844,166.9161801733199,-106.58604993883142,147.88142363035385,44.90257072115409,139.99800592094186,-158.26984614423174,-32.60874948406189,92.62028715119244,-94.54389006718588,-574.3581929498773
Club Brugge,-104.48216390242601,-386.7094547442465,-80.51369200667624,43.15827535637696,10.184130858182726,-166.8064742811811,-130.77083585151277,-220.62573717210367,-298.9233302340258,44.8932039882818,-145.1036055989754,-57.1199067556978,-15.198546430538741,28.25125756065033,134.23606279690875,13.434401473844247,132.30887102669493,130.92722560136087,-158.93779214307898,83.60334103773063,-344.4615274939453
Anderlecht,9.666663342178083,-69.44940267983614,-141.2117953803353,-94.76067123744039,-65.39731976079624,25.903942858610307,-88.9107018952202,-15.458116396898049,-101.97595892446019,-15.801618383147954,87.23692256867092,83.95069184756133,-19.17986121511146,-104.95318324884502,-89.71595260628364,163.66134276758746,72.13988950535561,-172.56352259647892,129.14972305070873,-67.85151502550406,261.0461924354148
Ath Madrid,-154.862768626008,-145.1457505140006,-355.94718331738346,-1.7046376702557637,103.6169720158188,-297.70164221513403,-263.11223795610346,-225.69146906452335,-246.27307515053707,-129.88697114351027,-415.90537021923154,-90.06351432066499,-164.48454079113486,176.4667680284811,-69.23204913015284,62.18794616407425,-217.48261694979175,118.22677903495251,82.93682035653684,80.82678094269104,138.12676536505137
Sociedad,-427.13880987042626,-112.09642449441722,278.9182967973771,-103.43826901350957,-245.51442075039176,-328.39004110179155,-584.7873172103513,-271.2686738284392,-134.05635975602274,234.24168440425981,-43.86200610141776,433.02884448835795,423.0351333113946,42.634621746560924,388.0626527758161,-221.04976677619266,123.61655010189946,-299.660750127643,-194.00447069732152,-184.30219696619406,-53.57686000196314
Valencia,-472.3208205284419,20.647350771120713,-553.1484521205173,-287.58557535588915,-157.65693145785983,144.88842438969598,-82.13038453590879,-731.7443712377055,56.50255794352459,244.59780784174293,-233.78072178167375,-65.03534392164187,56.623402115029194,-413.94828028157957,283.1626909783804,-30.8308715129873,-332.6191860824151,66.91618948571653,289.96241697197587,500.61368085187735,335.54271235268135
Betis,-323.11640370808163,-95.47088394689406,-130.0433151356975,24.25777413687078,228.6050642893146,-322.34309318403484,-88.74913059121313,-322.323382259237,-271.02681910559477,29.221336279571332,-54.33801950378408,153.56317472882745,128.92527216401865,-822.5754214220841,-166.47690106513028,98.45271361518716,209.5774297288545,-85.47340807449345,-222.26039168735048,-144.6088678039337,75.30589430935872
Villarreal,-18.997258344146033,-93.27923972899774,-249.10610795116807,-19.457512636160146,283.47697662256326,-141.19185383363032,-116.67307245064495,134.27583777038126,-145.1437115924852,-58.122557060294454,-48.52226490287775,549.8569757825662,39.13033415309421,-9.436293417712648,-469.1405126485828,312.62750542331366,69.27454449852497,-126.53794036608494,-72.52148274466529,-86.93739722192535,-209.77857347978136
Real Madrid,-66.72261884377687,41.4890851054641,-69.68434797649755,-375.6089692396075,-205.7325261234106,-329.43807915830513,-143.82959571589632,-84.11179450505503,-194.9302137203783,-66.79487005018984,-131.7995553223445,-118.88569279729239,83.85253627598838,-204.38635043606644,-50.221865648162535,-178.25214069567363,-66.13488813337747,-255.32183400104464,-399.45718806119424,142.1185932078331,-60.15558779276638
Barcelona,-269.95510886869874,-131.30899299551038,-299.8613292921294,-200.75564499269092,-9.058810313918045,-47.72134056189488,48.180166653087426,-247.34754256544403,-148.78454237101062,31.752118895250476,-67.9272927971765,-122.74233967105461,23.62204811508269,-71.5641555246649,-161.35528782208678,-201.6087288726951,-64.4400040769503,53.56346141658585,-18.349307901587466,-1.092507838346421,-186.94346913670603
Sevilla,-24.000273028493467,-370.17030922134484,-19.87145680710536,-102.72152020343543,-114.54929690068232,134.73465535329365,23.637064288026707,-253.8440070590104,-426.4088959431467,-65.74331172595069,-119.81760019513878,-377.8745247002641,-188.09622281141824,-35.29535000779232,291.1526536653881,-58.258539001308804,234.84968526383375,66.05865724336437,-62.91170335636943,85.68309720952698,-155.30800679451318
